('ID', 'Identifier')
('TI', 'Tariff info')
('RAO', 'State O of the rocker A')
('CTS', 'Controller state')
('SFP', 'Supply Air Flap Position')
('TMP', 'Temperature from RCU')
('ILL', 'Illumination (linear)')
('MR', 'Current value in mA or cumulative value in A.h')
('SMO', 'Status of detection and battery')
('WTPS', 'Weekly Timer Program Status')
('SW', 'Switching command')
('TMP8', 'Temperature')
('CH', 'Measurement channel')
('ESSTS', 'Energy Storage Status')
('CONC', 'VOC')
('AS', 'Angle sign')
('SVI', 'Software Version Info')
('SL', 'Source Localization')
('OMC', 'Operation Mode Control')
('DEL', 'Delay or duration (if Time > 0); 0 = Duration (Execute switching command immediately and switch back after duration) 1 = Delay (Execute switching command after delay)')
('FAN', 'Fan speed')
('PM2.5', 'Particles_2.5')
('WAS', 'Water Sensor')
('BAL', 'Burglary Alarm')
('EP', 'End position')
('LRNB', 'LRN Bit')
('DT2', 'Dim timer 2')
('SNW', 'Sun - West')
('DIS', 'Digital Input 0...15 Status')
('DT1', 'Dim timer 1')
('RAI', 'State I of the rocker A')
('SER', 'Service command')
('MDMSB', 'Measurement delta to be reported (MSB)')
('HUM', 'Humidity')
('RBO', 'State O of the rocker B')
('HUM', 'Humidity (linear)')
('SVC', 'Supply voltage (linear)')
('SPS', 'Set point selection for DB3')
('RAN', 'Rain Indication')
('SNE', 'Sun - East')
('TS', 'Temperature Selection')
('WUC', 'Wake Up Cycle')
('SPS', 'Set point selection')
('EP', 'Measurement mode')
('RO', 'Room occupancy')
('VO', 'Valve open / maintenance')
('qu', 'Query')
('ACY', 'Absolute Acceleration on Y axis')
('EL', 'Error level')
('SP', 'Set point (linear)')
('SP', 'Valve Position or Temperature Setpoint')
('SW', 'Switching command ON/OFF')
('CP', 'Current Value')
('PF', 'Power Failure')
('TMP', 'Temperature')
('RIN', 'Run init sequence')
('LOM', 'Local Offset Mode')
('CHN', 'Channel')
('DB0', 'Data Byte 0')
('RFC', 'Radio duty cycle selection.')
('FTS', 'Failure Temperature sensor, out of range')
('LOT_MSB', 'Longitude(MSB)')
('HT', 'Humidity Threshold')
('ILL2', 'Illumination 2 (linear)')
('VIB', 'Vibration')
('SPLYFS', 'Supply Fan Speed')
('DV', 'Dim value')
('DI0', 'Digital Input 0')
('PM1', 'Particles_1')
('ACT', 'Radon')
('LO', 'Local Offset')
('DT', 'Current value or cumulative counter value')
('ASP', 'Actual Setpoint')
('TMP', 'Temperature (linear)')
('RE', 'Reset measurement')
('EB', 'Energy bow')
('LFS', 'Lift set')
('DI2', 'Digital Input 2')
('RMT', 'Requested Message Type')
('PRES', 'Presence Detector')
('ST', 'Status')
('DSO', 'Display Orientation')
('FMS', 'Filter Maintenance Status')
('SRC', 'Source')
('IPS', 'Input State')
('TMP', 'Outdoor Temp')
('INT', 'Indoor Air Temperature')
('SPN', 'Set point inverse')
('RTCS', 'Room Temperature Control Status')
('TSL', 'Indicates which sensor is used for TMP')
('YR', 'Year')
('DN', 'Day/Night')
('SVC', 'Supply Voltage')
('DMS', 'Defrost Mode Status')
('TSN', 'Availability of the Temperature Sensor')
('Unit', 'Unit')
('DIV', 'Divisor for value')
('EBM', 'External Switch/Push Button')
('SLSW', 'Slide switch')
('EXHFF', 'Exhaust Air Fan Air Flow Rate')
('MIN', 'Minute')
('AN', 'Angle in 2 degrees steps')
('SB', 'Initiate summer mode (reduced communication)')
('CTM', 'Controller mode')
('SMA3', 'Smoke Alarm Condition analysis: Humidity')
('WND', 'Wind speed')
('T21', 'T21')
('Conc', 'VOC Concentration')
('ELV', 'Elevation')
('MIT', 'Min message time')
('WA0', 'Value of wake signal')
('MAT', 'Maximum time between two subsequent actuator messages')
('TMP', 'Temperature 10')
('CH3', 'Channel 3')
('HEM', 'Hemisphere')
('DHS', 'Drain Heater Status')
('MDLSB', 'Measurement delta to be reported (LSB)')
('SP', 'Valve Position or Temperature Set point')
('CMD', 'command indentifier')
('FS', 'Fault 0...31 Status')
('DT3', 'Dim timer 3')
('SM', 'Service mode')
('RSS', 'Weak radio signal warning')
('CCO', 'Contact, cover open')
('MOTP', 'Mode of the position')
('DIV', 'Divisor')
('OV', 'Output value')
('MR', 'current value in W or cumulative value in kWh')
('LOCK', 'Locking modes')
('BR', 'Button Right')
('AVF', 'Angle value flag')
('DB3', 'Data Byte 3')
